Input daily precipitation file. These data are daily total water equivalent precipitation (mm) observed at your most local weather station to your glacier. Row 1 is the hydrologic year. Column 1 is the Hydrologic day. Note each column has 366 entries due to leap years.
For non leap years enter'nan' for February 29th. For dates missing observations also enter 'nan'. These data gaps will be filled using 'City_wx'.Data must preceed mass balance data by two years.
Final input file must start with row 1 as seen in the example below from Wolverine Glacier.

Date	1964-65	1965-66	1966-67	1967-68	1968-69	1969-70	1970-71	1971-72	1972-73	1973-74	1974-75	1975-76	1976-77	1977-78	1978-79	1979-80	1980-81	1981-82	1982-83	1983-84	1984-85	1985-86	1986-87	1987-88	1988-89	1989-90	1990-91	1991-92	1992-93	1993-94	1994-95	1995-96	1996-97	1997-98	1998-99	1999-00	2000-01	2001-02	2002-03	2003-04	2004-05	2005-06	2006-07	2007-08	2008-09	2009-10	2010-11	2011-12	2012-13	2013-14	2014-15	2015-16
1-Oct	nan	nan	nan	0	5	6	0	15	3	3	1	1	0	0	1	33	14	0	1	2	37	2	2	0	0	12	0	10	6	9	0	1	nan	0	0	7	0	9	0	15	3	2	0	0	0	2.5	27	9.9	0	1.2	0.3	0
2-Oct	nan	nan	nan	0	10	1	4	10	0	2	1	4	2	0	0	37	2	1	0	2	8	0	0	22	12	1	1	0	4	0	15	0	nan	1	0	0	0	1	5	34	32	0	2	0.5	0	0	16.5	21.2	0	4.9	0.0	nan
3-Oct	nan	nan	nan	0	7	28	1	1	1	0	1	5	14	0	0	12	1	9	2	0	0	1	1	0	7	4	1	1	0	1	3	1	nan	1	0	1	3	2	0	30	12	0	5	0	0	0	4.5	2.7	0.1	0	3.2	nan
4-Oct	nan	nan	nan	1	0	4	3	1	5	0	2	2	4	1	3	23	0	3	0	0	0	0	3	2	9	12	0	8	2	0	0	0	nan	0	1	3	5	23	0	4	16	1	2	0	0	0.5	6.5	0	2.3	8.5	6.8	nan
5-Oct	nan	nan	nan	1	7	7	0	0	9	7	0	3	4	0	42	14	17	0	2	0	5	0	0	0	35	23	1	0	0	0	4	1	nan	1	0	0	1	15	0	34	0	2	4	0	0	9	0	0	10.5	0	0.0	nan
6-Oct	nan	nan	nan	0	0	69	6	3	2	0	1	0	2	4	18	2	23	0	1	0	23	1	0	0	12	36	0	0	37	13	6	0	nan	1	0	3	8	0	0	42	0	1	0	0	0	1.5	1	0.6	1.2	2.7	0.1	nan
7-Oct	nan	nan	nan	0	0	23	0	10	0	1	7	0	2	0	6	4	11	1	4	0	3	1	0	0	4	13	4	0	6	26	6	0	nan	0	0	4	18	0	5	21	1	9	4	0	3	2.5	0	0.9	0.7	1.8	1.4	nan
8-Oct	nan	nan	nan	0	0	32	0	13	1	3	1	0	2	8	41	29	9	3	4	0	25	4	0	21	0	0	7	1	0	9	4	0	nan	0	1	15	0	1	0	2	2	1	7	0	0	2	0	1.3	1.6	5.4	0.0	nan
9-Oct	nan	nan	nan	1	0	3	3	10	0	2	1	2	1	15	6	18	2	2	1	13	2	2	15	14	0	6	0	0	0	21	2	0	nan	0	1	0	0	3	1	0	1	0	1	0	3	2.5	0	0	0	5.8	2.1	nan
10-Oct	nan	nan	nan	0	1	14	0	7	3	0	0	1	0	27	0	7	0	0	3	11	0	3	72	0	1	0	2	0	1	0	1	0	nan	0	2	0	2	2	0	1	0	1	46	0	31	7	0	0	1.7	0.2	20.6	nan
11-Oct	nan	nan	nan	2	3	50	0	1	2	2	0	4	0	20	0	23	0	4	4	14	4	0	19	2	5	0	8	0	0	1	5	1	nan	1	0	2	3	10	1	3	3	1	8	0	0.5	3	0	0	0	0.5	10.2	nan
12-Oct	nan	nan	nan	1	0	40	0	0	1	2	0	2	2	8	5	4	0	0	5	0	5	0	36	0	0	0	0	0	0	1	5	1	nan	0	0	0	0	0	0	0	6	0	nan	0	1	1	0	0	0	1.7	2.3	nan
13-Oct	nan	nan	nan	0	0	26	14	0	1	8	4	4	0	1	2	0	0	0	7	0	0	0	30	1	1	0	0	0	0	0	1	2	nan	0	0	0	5	0	15	1	12	0	nan	0	0	0	0	0	0	41.4	2.4	nan
14-Oct	nan	nan	nan	3	0	7	3	0	7	0	3	10	2	7	0	1	8	1	4	0	0	1	14	1	1	0	1	0	0	2	2	2	nan	0	0	0	10	1	0	3	3	0	nan	0	0	0	0	0	5.7	18.5	0.0	nan
15-Oct	nan	nan	nan	3	2	0	6	0	11	0	0	3	0	4	0	10	11	1	2	0	1	0	5	0	0	28	0	3	0	4	1	1	nan	0	8	2	1	2	5	1	0	0	nan	0	0	0	0	1.2	0.7	4.7	1.7	nan
16-Oct	nan	nan	nan	nan	0	3	0	7	12	0	0	1	10	2	8	11	2	1	2	0	2	4	0	1	0	9	0	2	0	2	4	1	nan	0	8	0	4	0	0	0	2	0	nan	0	0	0	0	6.8	2.7	1.6	0.0	nan
17-Oct	nan	nan	nan	nan	0	4	2	0	2	23	3	1	nan	6	21	1	3	0	6	1	0	0	1	1	0	3	0	0	0	2	3	0	nan	0	11	8	5	1	2	0	0	1	nan	0	0	0	0	0.9	1.4	1	1.8	nan
18-Oct	nan	nan	nan	nan	0	8	1	1	10	5	3	1	nan	10	9	0	14	1	0	2	0	2	0	0	0	1	0	0	0	1	1	5	nan	0	5	4	0	1	3	0	0	1	nan	0	0	0	0	0	0	4.4	2.1	nan
19-Oct	nan	nan	nan	nan	0	3	0	0	1	0	12	1	nan	0	1	0	16	1	4	0	2	0	1	11	0	7	14	0	0	1	0	0	nan	0	4	5	0	0	9	1	2	3	nan	0	0	0	0	0	0	8.9	11.7	nan
20-Oct	nan	nan	nan	nan	0	0	0	0	0	1	5	2	nan	8	3	2	14	35	3	0	0	0	5	6	0	1	3	3	3	0	0	1	nan	0	11	1	1	0	20	3	0	5	nan	0	0	0	0	0	0	12.2	1.6	nan
21-Oct	nan	nan	nan	nan	0	2	0	0	0	1	3	2	nan	8	4	0	8	3	2	4	2	1	15	19	0	1	2	2	1	0	1	2	nan	0	5	0	3	4	19	2	1	4	nan	0	2	0	0	0.7	0	1.6	2.1	nan
22-Oct	nan	nan	nan	nan	0	0	1	1	1	0	0	0	nan	10	2	0	41	2	2	2	8	0	0	39	0	0	5	0	1	1	0	4	nan	1	5	0	2	0	65	3	0	4	nan	0	0	3.5	0	2.5	0	4.4	1.7	nan
23-Oct	nan	nan	nan	nan	0	0	2	3	0	0	29	16	nan	6	4	7	14	0	0	4	3	1	1	22	0	8	17	0	0	1	0	1	nan	1	25	0	2	0	81	0	0	1	nan	0	0	8	0	1.7	0	3.9	0.0	nan
24-Oct	nan	nan	nan	nan	2	0	2	0	2	0	23	2	nan	1	13	2	50	0	0	1	0	0	0	5	0	1	2	0	2	0	6	4	nan	2	16	0	3	0	48	3	4	0	nan	0	0	0.5	0	26.6	0.2	3.6	0.8	nan
25-Oct	nan	nan	nan	nan	2	0	0	0	0	1	8	0	nan	1	5	3	4	0	0	2	0	2	0	0	0	0	3	0	10	0	1	1	nan	0	2	2	3	0	19	8	0	0	nan	0	0	1	0	3.4	0.5	6.8	0.0	nan
26-Oct	nan	nan	nan	nan	7	0	0	0	2	0	1	1	nan	19	4	0	5	0	0	1	1	0	0	1	0	1	1	1	20	6	1	3	nan	0	0	0	0	0	0	6	0	0	nan	0	0	0	0	2.2	0.8	0	0.9	nan
27-Oct	nan	nan	nan	nan	1	0	0	4	0	1	8	0	nan	0	1	1	0	2	0	9	0	0	0	2	0	0	1	0	3	0	2	0	nan	0	0	5	2	0	1	2	2	0	nan	0	0	0	0	0	0	7.2	0.5	nan
28-Oct	nan	nan	nan	nan	4	1	18	5	2	7	1	4	nan	2	1	4	1	10	6	10	0	1	3	0	2	3	7	0	1	10	0	1	nan	0	0	2	0	2	6	0	4	0	nan	0	0	0	0	11.2	0.9	29	0.0	nan
29-Oct	nan	nan	nan	nan	0	0	2	2	2	0	11	0	nan	9	10	4	0	8	3	4	0	1	0	0	2	0	1	0	3	20	0	7	nan	0	2	3	0	0	48	0	5	0	nan	0	0	0	0	0.2	0.1	13.1	0.7	nan
30-Oct	nan	nan	nan	nan	0	10	42	0	0	1	0	0	nan	2	8	28	8	8	3	3	0	0	0	2	0	1	0	1	1	2	1	5	nan	2	1	0	0	0	0	0	1	0	nan	0	0	0	0	1.4	0	4.3	0.1	nan
31-Oct	nan	nan	nan	nan	0	24	54	0	1	0	32	0	nan	1	1	12	0	3	0	6	0	1	1	0	1	0	1	0	1	0	2	1	nan	2	0	2	2	4	1	0	0	0	nan	2.5	0	0	0	1	0	0	0.0	nan
1-Nov	nan	nan	nan	nan	0	19	4	1	0	0	4	0	nan	1	2	0	0	0	10	4	0	0	0	5	0	0	0	1	0	1	0	1	nan	6	0	0	0	1	1	0	8	0	nan	0.5	0	0	1.5	4	0.6	0	7.4	nan
2-Nov	nan	nan	nan	nan	10	8	1	1	0	0	17	0	nan	0	1	0	0	5	4	13	1	0	19	0	0	0	0	0	0	1	7	1	nan	4	1	1	0	4	11	1	11	0	nan	1.6	0	0.5	3.5	0.2	2.7	0	3.7	nan
3-Nov	nan	nan	nan	nan	7	3	8	1	0	1	6	0	nan	0	0	4	5	7	5	2	1	0	3	0	0	2	0	0	4	0	9	1	nan	3	3	1	0	0	4	1	1	0	nan	0.1	0	0	8	3.2	0.7	0	2.2	nan
4-Nov	nan	nan	nan	nan	0	2	6	0	1	0	1	0	nan	1	1	0	3	2	11	1	0	0	2	0	1	0	1	2	2	2	1	2	nan	2	0	6	2	1	22	0	7	0	nan	0	0	7	6	1.4	0.7	10.2	0.0	nan
5-Nov	nan	nan	nan	nan	2	1	2	2	1	0	1	0	nan	0	8	0	0	1	3	1	0	0	1	2	0	0	2	5	2	0	1	0	nan	1	0	6	0	0	67	1	10	0	nan	0.6	0	17.5	2	0	0.1	1.6	4.3	nan
6-Nov	nan	nan	nan	nan	13	1	0	4	0	0	1	0	nan	2	4	0	2	0	1	0	1	0	1	0	0	1	0	7	1	3	0	0	nan	5	1	2	1	0	0	0	5	0	nan	0	5.5	3.5	3	1.4	0.9	2.9	9.2	nan
7-Nov	nan	nan	nan	nan	0	3	3	0	0	1	2	0	nan	0	0	3	0	12	0	15	2	0	0	1	0	0	0	0	8	1	3	nan	nan	3	0	1	0	0	0	1	0	0	nan	1.8	0	0	2	0.8	0	0	14.2	nan
8-Nov	nan	nan	nan	nan	10	4	3	0	0	1	3	0	nan	0	0	3	2	3	3	5	0	0	3	0	0	0	0	0	16	0	0	nan	nan	14	0	2	0	0	0	3	0	0	nan	2.4	0	0	2.5	0	0	0	6.0	nan
9-Nov	nan	nan	nan	nan	2	0	0	4	0	0	5	0	nan	0	0	4	0	23	2	5	0	0	3	0	0	0	1	0	15	6	1	nan	nan	33	0	0	4	0	0	1	0	4	nan	1.2	0.5	0	0	0.5	1.2	5.6	16.4	nan
10-Nov	nan	nan	nan	nan	2	0	0	0	1	0	6	3	nan	0	0	3	0	14	1	13	0	0	0	3	1	0	0	0	1	0	4	nan	nan	3	0	0	0	0	0	2	28	0	nan	0.6	4.5	0	1.5	1.6	0.5	17.3	7.0	nan
11-Nov	nan	nan	nan	nan	4	0	4	3	1	9	0	0	nan	0	0	14	5	14	3	2	0	2	0	0	0	0	0	0	11	1	2	nan	nan	6	0	0	2	4	0	3	0	0	nan	1.2	4.5	0	3.5	0.4	0.6	0	13.8	nan
12-Nov	nan	nan	nan	nan	9	2	1	2	1	2	3	0	nan	5	1	7	6	6	10	2	0	4	0	12	2	0	0	0	1	3	1	nan	nan	16	0	7	1	2	0	5	0	0	nan	0	0	0	6	3.8	1.2	0	2.2	nan
13-Nov	nan	nan	nan	nan	3	0	3	1	0	0	2	4	nan	2	5	4	9	2	11	1	0	1	2	9	0	0	0	0	0	2	0	nan	nan	3	0	16	12	1	0	2	0	0	nan	1	0	0	0	1.1	1.1	1.3	1.6	nan
14-Nov	nan	nan	nan	nan	0	0	0	1	1	0	6	1	nan	0	0	1	3	0	4	0	1	0	3	3	2	0	2	0	5	2	1	nan	nan	0	0	0	3	5	39	8	0	0	nan	1.4	1	0	0	0	0.7	0	0.0	nan
15-Nov	nan	nan	nan	nan	0	0	0	3	0	0	10	0	nan	0	0	18	6	3	1	2	0	0	2	0	0	0	3	0	3	1	5	nan	nan	0	0	2	1	0	0	14	0	1	nan	0.4	0	0	0	0	0.4	0.2	0.0	nan
16-Nov	nan	nan	nan	nan	0	0	2	4	4	0	0	0	nan	2	1	15	3	0	1	1	0	0	0	7	0	1	1	0	0	0	0	nan	nan	0	0	0	4	1	4	10	0	3	nan	0	1.5	0	0	0.9	0.7	0	13.8	nan
17-Nov	nan	nan	nan	nan	4	0	3	9	0	0	0	0	nan	0	0	5	4	0	3	2	0	0	0	7	5	2	7	0	1	1	9	nan	nan	5	0	5	5	12	3	5	0	1	nan	1	0	0	0	0.2	0	0.3	0.8	nan
18-Nov	nan	nan	nan	nan	6	0	3	25	2	0	1	0	nan	0	0	2	1	0	0	0	0	0	3	29	0	1	7	0	0	2	0	nan	nan	1	0	6	5	6	5	1	0	11	nan	0	0	0	0	0.1	0	0	26.9	nan
19-Nov	nan	nan	nan	nan	0	0	0	12	2	0	0	1	nan	0	0	8	15	1	0	1	0	0	0	0	1	0	0	3	1	1	0	nan	nan	2	0	6	15	9	0	0	5	4	nan	0	2.5	0	2.5	0	0	0.2	6.5	nan
20-Nov	nan	nan	nan	nan	0	2	0	1	0	0	0	2	nan	0	0	13	0	0	0	2	18	0	0	1	12	1	1	0	1	0	6	nan	nan	0	3	4	4	1	29	0	0	1	nan	9.1	1.5	0	1	0.1	0	0.5	8.8	nan
21-Nov	nan	nan	nan	nan	1	2	2	1	8	0	16	0	nan	0	11	9	0	0	0	14	2	0	4	2	7	20	0	4	0	nan	2	nan	nan	5	0	1	6	0	8	0	3	0	nan	4.9	0	0	2	2.3	0.5	15.2	6.2	nan
22-Nov	nan	nan	nan	nan	4	0	1	3	12	1	28	0	nan	0	1	8	6	0	1	4	5	0	1	2	2	19	0	0	16	nan	4	nan	nan	2	0	0	0	1	23	0	1	1	nan	2	0	3.5	0	0.2	0	2.3	6.4	nan
23-Nov	nan	nan	nan	nan	0	1	0	0	6	2	1	0	nan	0	1	4	9	4	1	1	0	0	0	1	2	4	0	4	17	nan	1	nan	nan	2	0	3	4	2	8	0	3	1	nan	1	1.5	21	0	0	0	2.2	0.0	nan
24-Nov	nan	nan	nan	nan	0	2	0	0	11	2	5	0	nan	0	0	7	7	0	2	4	1	0	2	1	0	2	0	1	7	nan	0	nan	nan	2	0	0	2	0	0	0	13	0	nan	0	9	12	0	2.5	0	1.3	1.1	nan
25-Nov	nan	nan	nan	nan	0	38	0	1	1	2	0	0	nan	0	6	3	2	7	1	0	0	1	3	0	0	0	2	3	6	nan	0	nan	nan	0	0	0	0	0	29	2	4	0	nan	5.4	2	9.5	1	4.3	0	0.1	0.0	nan
26-Nov	nan	nan	nan	nan	8	18	0	2	3	0	0	0	nan	0	10	4	4	1	1	0	0	9	3	0	2	0	1	2	1	nan	0	nan	nan	8	0	4	0	0	6	3	1	5	nan	1.4	0	8.5	0	0	0	6.9	0.3	nan
27-Nov	nan	nan	nan	nan	2	19	0	0	9	1	9	0	nan	0	11	31	7	4	0	2	0	9	8	2	0	1	0	0	11	nan	0	nan	nan	1	6	2	0	0	0	0	13	0	0	0	9	17	0	1.3	0	0	0.0	nan
28-Nov	nan	nan	nan	nan	2	11	9	1	1	0	12	1	nan	0	1	93	1	1	2	29	0	3	16	2	0	1	0	2	17	nan	0	nan	nan	0	9	0	10	0	2	1	15	0	0	7.5	4	4.5	0.5	0.6	0.2	0	0.0	nan
29-Nov	nan	nan	nan	nan	0	5	6	4	2	2	6	0	nan	0	3	20	0	3	3	9	0	1	6	0	4	0	0	1	4	nan	1	nan	nan	1	24	1	0	0	24	1	0	1	0	0	0.5	0	0	3.5	0	0	5.4	nan
30-Nov	nan	nan	nan	nan	3	1	0	0	1	0	3	1	nan	0	1	30	0	13	5	3	0	1	5	8	1	2	0	0	1	nan	0	nan	nan	1	3	9	0	0	23	1	0	0	3	0.7	0	19	0	12.2	0	0.1	0.3	nan
1-Dec	nan	nan	nan	nan	0	9	0	0	1	0	2	1	nan	0	4	1	2	9	4	4	0	5	5	2	1	7	0	8	8	nan	0	nan	nan	4	2	4	0	0	0	1	2	0	3	0.6	0	34	0	2.7	0	0	2.2	nan
2-Dec	nan	nan	nan	nan	1	10	1	0	0	0	3	1	nan	0	7	6	2	4	0	0	5	2	3	1	9	8	3	2	8	nan	0	nan	nan	1	0	1	0	0	0	1	7	0	2	0	0	10.5	0	3.3	0	1.3	3.1	nan
3-Dec	nan	nan	nan	nan	5	0	0	0	0	2	3	0	nan	0	1	5	4	0	0	2	4	0	3	2	10	6	2	1	8	nan	25	nan	nan	1	0	2	4	0	22	3	10	0	5	0	2.5	3.5	11.5	10	0.2	0	2.4	nan
4-Dec	nan	nan	nan	nan	0	5	0	0	6	0	0	0	nan	0	1	2	3	0	0	0	19	0	8	2	3	2	1	0	0	nan	6	nan	nan	16	0	0	6	0	0	0	8	2	0	0	3	0	0.5	6.8	0	1.7	0.7	nan
5-Dec	nan	nan	nan	nan	2	5	0	0	2	2	1	1	nan	0	2	10	0	2	2	0	26	1	4	0	0	8	14	3	0	nan	6	nan	nan	7	0	0	24	0	2	0	6	7	3	0	3	9	3	0	0	1.1	0.5	nan
6-Dec	nan	nan	nan	nan	0	11	0	0	0	2	5	0	nan	0	1	5	0	0	12	0	0	0	2	4	0	8	0	1	1	nan	1	nan	nan	7	3	0	0	0	0	0	0	3	3	0	1	33	5	0	0	0.3	4.6	nan
7-Dec	nan	nan	nan	nan	0	1	0	0	0	0	10	0	nan	0	0	2	0	0	6	1	3	1	2	1	21	11	2	4	1	nan	0	nan	nan	3	0	0	0	0	1	0	0	5	3	0.5	3	15.5	1.5	2.3	0	0	14.5	nan
8-Dec	nan	nan	nan	nan	0	3	0	0	0	1	0	0	nan	0	4	3	0	10	7	13	13	6	24	9	6	0	2	3	2	nan	4	nan	nan	3	2	0	1	0	0	0	0	14	17	1.5	0	0	0	0	3.1	0	18.2	nan
9-Dec	nan	nan	nan	nan	3	0	6	0	2	0	2	0	nan	0	1	0	0	0	6	1	0	17	4	10	4	11	1	4	3	nan	0	nan	nan	1	1	0	0	0	0	1	0	15	37	0	2	0	0	1.1	1.8	0	3.2	nan
10-Dec	nan	nan	nan	nan	0	0	1	1	0	3	0	0	nan	0	3	10	1	2	19	2	0	9	25	5	8	12	4	4	4	nan	0	nan	nan	6	0	0	3	2	0	13	0	1	10	2	0	0	0	1.4	0.9	0.1	0.0	nan
11-Dec	nan	nan	nan	nan	4	0	7	1	0	0	0	0	nan	1	0	10	4	0	0	0	0	6	0	3	20	7	0	0	2	nan	1	nan	nan	1	5	0	0	4	0	16	0	1	1	1	0	0	0	20.1	6.4	0.2	0.0	nan
12-Dec	nan	nan	nan	nan	8	3	3	6	0	2	2	0	nan	0	12	2	1	8	3	0	0	4	10	2	8	4	2	0	3	nan	1	nan	nan	3	9	0	1	0	0	10	0	0	13	0	0	0	0	5.2	5.9	0.3	0.6	nan
13-Dec	nan	nan	nan	nan	0	3	7	0	5	0	1	0	nan	0	4	0	0	6	9	1	0	4	2	0	7	4	3	0	0	nan	1	nan	nan	3	1	1	0	0	1	2	0	1	0	0	0	0	0	1.5	1.3	5	7.5	nan
14-Dec	nan	nan	nan	nan	0	1	4	0	1	0	3	0	nan	7	19	0	0	1	14	2	1	0	0	1	24	2	1	20	2	nan	1	nan	nan	4	8	1	0	0	10	1	1	10	0	0.5	2	0	0	1.8	1.7	6.3	15.8	nan
15-Dec	nan	nan	nan	nan	8	18	6	5	0	0	2	7	nan	0	4	0	1	2	7	0	0	1	13	0	8	5	0	8	3	nan	0	nan	nan	0	4	0	0	7	8	0	0	36	0	0	0	0	0	10.3	0.2	1.6	11.7	nan
16-Dec	nan	nan	nan	nan	15	34	3	3	9	2	2	20	nan	1	1	0	0	13	10	0	0	2	10	0	30	0	0	20	0	nan	6	nan	nan	0	0	0	0	0	7	1	4	13	5	0	0	0	0	2.3	0	0	3.9	nan
17-Dec	nan	nan	nan	nan	0	31	1	6	0	7	2	20	nan	2	3	0	0	21	1	0	0	2	4	3	1	4	5	7	0	nan	1	nan	nan	0	0	1	7	2	0	0	15	0	3	0	0	0	0	8.4	0	0	0.7	nan
18-Dec	nan	nan	nan	nan	0	7	1	2	2	15	5	19	nan	0	0	8	0	8	1	0	0	13	7	0	10	0	0	0	0	nan	5	nan	nan	3	2	11	6	1	0	1	7	0	1	0	0	0	0	27.5	1.3	10.2	0.8	nan
19-Dec	nan	nan	nan	nan	0	13	2	5	6	18	5	5	nan	0	1	0	0	1	1	1	3	6	31	12	5	1	0	2	1	nan	2	nan	nan	0	0	4	4	2	0	1	2	0	5	0	2	0	0	1.2	1	1.5	0.0	nan
20-Dec	nan	nan	nan	nan	0	20	0	5	0	3	3	6	nan	0	2	0	0	3	5	0	1	3	7	9	1	0	0	9	0	nan	2	nan	nan	7	2	9	12	19	0	2	6	0	5	0	0.5	1	0	9.5	0	1.2	1.7	nan
21-Dec	nan	nan	nan	nan	0	1	8	0	0	2	1	8	nan	1	3	0	0	1	2	0	0	5	2	2	0	0	0	0	1	nan	2	nan	nan	0	1	57	2	22	0	1	4	2	0	0.2	0	6.5	0	1.2	0	0	1.0	nan
22-Dec	nan	nan	nan	nan	3	1	0	0	0	0	0	13	nan	1	5	0	0	0	3	0	0	12	0	1	20	1	2	7	0	nan	3	nan	nan	0	1	4	0	4	0	1	0	0	2	1	0	2	0	0.7	0	0.5	1.9	nan
23-Dec	nan	nan	nan	nan	0	2	14	0	1	2	2	3	nan	2	0	0	0	0	0	11	5	48	1	2	1	2	0	0	0	nan	4	nan	nan	0	0	0	3	0	0	3	4	0	10	0.4	1	6	0	0	1.2	0	0.0	nan
24-Dec	nan	nan	nan	nan	5	11	7	0	2	0	3	3	nan	2	2	17	0	1	0	3	0	11	0	26	1	7	0	4	0	nan	1	nan	nan	0	0	0	3	6	0	3	19	2	6	1.2	0	3.5	0	0	12.9	0	0.0	nan
25-Dec	nan	nan	nan	nan	0	5	4	0	0	3	4	9	nan	1	1	16	0	1	0	2	2	1	1	5	0	2	7	14	0	nan	0	nan	nan	0	0	16	10	25	0	8	0	2	1	0.4	0	3	0	1.8	19.5	0	4.2	nan
26-Dec	nan	nan	nan	nan	6	3	5	0	1	9	1	3	nan	2	0	11	0	4	5	0	0	0	0	1	0	4	4	2	16	nan	0	nan	nan	0	0	16	1	9	0	5	0	2	0	0.2	0	3	1	0	7.7	0.1	0.5	nan
27-Dec	nan	nan	nan	nan	0	3	3	0	1	22	4	8	nan	3	0	10	0	0	6	0	2	0	0	0	3	1	2	10	0	nan	3	nan	nan	0	0	2	4	0	0	0	1	2	7	1.7	0	2.5	0.5	0	2.9	1.4	1.3	nan
28-Dec	nan	nan	nan	nan	1	15	0	8	5	5	0	3	nan	0	1	14	0	1	27	2	0	1	0	0	3	6	2	1	0	nan	7	nan	nan	0	1	0	7	10	0	0	1	4	16	0.3	0	0	0	0.3	4.9	0.3	9.3	nan
29-Dec	nan	nan	nan	nan	2	11	0	7	3	23	0	1	nan	0	2	14	0	2	10	1	7	0	1	0	1	4	1	3	0	nan	7	nan	nan	0	1	0	6	25	0	0	0	4	12	0.1	0	0.5	3	0	9.7	0.1	27.4	nan
30-Dec	nan	nan	nan	nan	1	3	0	5	1	1	0	6	nan	2	3	7	5	0	3	0	8	0	9	1	1	1	3	1	1	nan	0	nan	nan	0	1	0	3	1	0	0	1	4	0	0	0	0	6.5	0	11.4	0	10.5	nan
31-Dec	nan	nan	nan	nan	0	17	0	5	5	3	0	1	nan	0	5	0	11	0	2	0	17	9	0	1	4	3	0	1	3	nan	5	nan	nan	0	0	0	0	86	1	0	0	0	0	0.5	0	0	4	0	8.2	7.9	2.0	nan
1-Jan	nan	nan	nan	nan	2	2	0	1	0	0	7	1	nan	0	0	0	2	0	4	0	2	0	3	0	2	0	0	22	3	nan	0	nan	nan	0	12	0	1	0	1	0	0	3	0	0.8	0	0	6	9.4	19.1	3.3	0.0	nan
2-Jan	nan	nan	nan	nan	1	0	31	4	0	3	0	1	nan	0	0	0	2	0	1	0	0	0	1	0	1	2	0	0	5	nan	3	nan	nan	0	4	1	1	0	0	1	0	0	0	0	0	0	9.5	0.6	6.4	0	0.1	nan
3-Jan	nan	nan	nan	nan	0	0	14	0	4	0	0	1	nan	0	0	0	24	0	1	2	3	16	4	0	0	1	0	1	0	nan	47	nan	nan	112	0	1	0	0	0	0	0	1	7	0	0	0	7	0.4	41.1	0.8	1.1	nan
4-Jan	nan	nan	nan	nan	0	0	10	3	0	0	1	1	nan	0	0	0	3	0	0	5	3	61	0	0	0	0	0	1	0	nan	1	nan	nan	4	1	2	0	1	0	0	0	0	0	0	0	1.5	2	51.5	4.6	8.7	0.0	nan
5-Jan	nan	nan	nan	nan	0	0	0	2	5	0	0	0	nan	0	0	0	0	20	0	2	0	8	0	0	0	2	0	0	0	nan	0	nan	nan	0	0	2	0	9	0	0	0	0	0	0	0	1.5	1.5	10.1	5.2	0.4	0.3	nan
6-Jan	nan	nan	nan	nan	0	0	7	0	0	0	0	1	nan	0	0	0	5	0	0	0	2	3	11	5	7	1	0	5	0	nan	3	nan	nan	0	0	1	8	4	4	4	0	1	0	0	0	0	1	1.4	5.3	0.2	0.0	nan
7-Jan	nan	nan	nan	nan	0	0	0	4	3	0	0	0	nan	0	1	0	7	0	0	0	10	1	8	8	0	0	0	7	0	nan	1	nan	nan	0	0	2	25	2	6	4	0	1	0	0	0	3	0	0.5	5.4	0.1	0.6	nan
8-Jan	nan	nan	nan	nan	0	0	0	1	0	1	0	0	nan	4	1	0	4	0	0	2	19	2	2	1	0	3	0	12	2	nan	0	nan	nan	0	0	1	10	40	0	1	4	2	0	1	0	0	0.5	0.6	4.9	0.2	5.7	nan
9-Jan	nan	nan	nan	nan	0	0	2	7	0	0	0	0	nan	2	2	0	8	0	0	0	7	7	11	2	1	0	0	5	0	nan	0	nan	nan	0	4	0	1	0	0	0	0	1	0	0.2	0	1	0.5	0.2	1.1	0	2.1	nan
10-Jan	nan	nan	nan	nan	0	0	0	0	8	0	0	0	nan	3	1	0	9	0	5	7	23	6	7	1	1	3	0	6	0	nan	4	nan	nan	0	0	0	0	0	0	0	11	0	4	0	2	0	0	7.8	2	0	0.0	nan
11-Jan	nan	nan	nan	nan	1	0	0	0	4	0	0	0	nan	1	0	0	2	0	1	17	9	12	0	2	14	4	0	1	1	nan	2	0	nan	0	0	0	9	0	89	0	20	0	3	0	3	0	0	3.7	0	0	0.0	nan
12-Jan	nan	nan	nan	nan	3	0	0	0	0	0	0	0	nan	2	0	0	0	0	4	56	4	12	0	3	5	6	0	3	0	nan	2	0	nan	0	15	0	15	0	8	2	4	0	3	0	3.5	0	0	6.5	4.6	2.2	23.2	nan
13-Jan	nan	nan	nan	nan	0	0	3	0	1	0	0	0	nan	1	2	0	19	0	0	13	1	7	8	6	1	6	2	0	0	nan	0	0	nan	0	9	0	1	1	0	3	0	0	3	0	3.5	0	0	2.3	2.8	5.2	5.1	nan
14-Jan	nan	nan	nan	nan	0	0	0	0	2	0	0	0	nan	1	4	0	34	2	1	17	6	8	0	8	3	0	1	4	0	nan	0	0	nan	0	0	0	10	0	2	4	1	0	16	0	13	0	0	0.6	1.7	7.8	24.9	nan
15-Jan	nan	nan	nan	nan	0	0	2	1	0	3	0	0	nan	1	9	0	8	0	0	4	3	5	29	0	3	0	2	4	2	nan	0	0	nan	0	2	1	0	8	0	2	0	0	0	1.8	24.5	0	0	5.5	0	5.1	3.6	nan
